# 1 ) SHOUTCAST [_m_ddc_bytes] ma.28291.135 sum(_m_ddc_bytes)
adb416.central.dna.akamai.com,adb466.central.dna.akamai.com,adb416.east.dna.akamai.com,adb466.east.dna.akamai.com
1521849600,( 6742424 = 52 = 0.00 ),( 6742424 = 52 = 0.00 ),( 6742424 = 52 = 0.00 ),( 6742424 = 52 = 0.00 )
1521936000,( 5867028 = -12 = 0.00 ),( 5867028 = -12 = 0.00 ),( 5867028 = -12 = 0.00 ),( 5867028 = -12 = 0.00 )
1522022400,( 5524809 = -5 = 0.00 ),( 5524809 = -5 = 0.00 ),( 5524809 = -5 = 0.00 ),( 5524809 = -5 = 0.00 )
1522108800,( 5809145 = 5 = 0.00 ),( 5809145 = 5 = 0.00 ),( 5809145 = 5 = 0.00 ),( 5809145 = 5 = 0.00 )
# 8 ) SHOUTCAST [_m_ddc_bytes] ma.27781.135 sum(_m_ddc_bytes)
adb416.central.dna.akamai.com,adb466.central.dna.akamai.com,adb416.east.dna.akamai.com,adb466.east.dna.akamai.com
1521763200,( 12707478 = 0 = 0.00 ),( 12707478 = 0 = 0.00 ),( 12707478 = 0 = 0.00 ),( 12707478 = 0 = 0.00 )
1521849600,( 12831832 = 0 = 0.00 ),( 12831832 = 0 = 0.00 ),( 12831832 = 0 = 0.00 ),( 12831832 = 0 = 0.00 )
1521936000,( 12532337 = -2 = 0.00 ),( 12532337 = -2 = 0.00 ),( 12532337 = -2 = 0.00 ),( 12532337 = -2 = 0.00 )
1522022400,( 13141963 = 4 = 0.00 ),( 13141963 = 4 = 0.00 ),( 13141963 = 4 = 0.00 ),( 13141963 = 4 = 0.00 )
1522108800,( 9871904 = -24 = 0.00 ),( 9871904 = -24 = 0.00 ),( 9871904 = -24 = 0.00 ),( 9871904 = -24 = 0.00 )
# 9 ) SHOUTCAST [_m_ddc_bytes] ma.27780.135 sum(_m_ddc_bytes)
adb416.central.dna.akamai.com,adb466.central.dna.akamai.com,adb416.east.dna.akamai.com,adb466.east.dna.akamai.com
1521763200,( 15623162 = 0 = 0.00 ),( 15623162 = 0 = 0.00 ),( 15623162 = 0 = 0.00 ),( 15623162 = 0 = 0.00 )
1521849600,( 17572968 = 12 = 0.00 ),( 17572968 = 12 = 0.00 ),( 17572968 = 12 = 0.00 ),( 17572968 = 12 = 0.00 )
1521936000,( 8474185 = -51 = 0.00 ),( 8474185 = -51 = 0.00 ),( 8474185 = -51 = 0.00 ),( 8474185 = -51 = 0.00 )
1522022400,( 9046571 = 6 = 0.00 ),( 9046571 = 6 = 0.00 ),( 9046571 = 6 = 0.00 ),( 9046571 = 6 = 0.00 )
1522108800,( 8640520 = -4 = 0.00 ),( 8640520 = -4 = 0.00 ),( 8640520 = -4 = 0.00 ),( 8640520 = -4 = 0.00 )
# 10) SHOUTCAST [_m_ddc_bytes] ma.27789.135 sum(_m_ddc_bytes)
adb416.central.dna.akamai.com,adb466.central.dna.akamai.com,adb416.east.dna.akamai.com,adb466.east.dna.akamai.com
1521763200,( 248814 = 0 = 0.00 ),( 248814 = 0 = 0.00 ),( 248814 = 0 = 0.00 ),( 248814 = 0 = 0.00 )
1521849600,( 232066 = -6 = 0.00 ),( 232066 = -6 = 0.00 ),( 232066 = -6 = 0.00 ),( 232066 = -6 = 0.00 )
1521936000,( 903364 = 289 = 0.00 ),( 903364 = 289 = 0.00 ),( 903364 = 289 = 0.00 ),( 903364 = 289 = 0.00 )
1522022400,( 252068 = -72 = 0.00 ),( 252068 = -72 = 0.00 ),( 252068 = -72 = 0.00 ),( 252068 = -72 = 0.00 )
1522108800,( 260760 = 3 = 0.00 ),( 260760 = 3 = 0.00 ),( 260760 = 3 = 0.00 ),( 260760 = 3 = 0.00 )
# 11) SHOUTCAST [_m_ddc_bytes] ma.27787.135 sum(_m_ddc_bytes)
adb416.central.dna.akamai.com,adb466.central.dna.akamai.com,adb416.east.dna.akamai.com,adb466.east.dna.akamai.com
1521763200,( 7510162 = 0 = 0.00 ),( 7510162 = 0 = 0.00 ),( 7510162 = 0 = 0.00 ),( 7510162 = 0 = 0.00 )
1521849600,( 7560848 = 0 = 0.00 ),( 7560848 = 0 = 0.00 ),( 7560848 = 0 = 0.00 ),( 7560848 = 0 = 0.00 )
1521936000,( 7529510 = 0 = 0.00 ),( 7529510 = 0 = 0.00 ),( 7529510 = 0 = 0.00 ),( 7529510 = 0 = 0.00 )
1522022400,( 3502035 = -53 = 0.00 ),( 3502035 = -53 = 0.00 ),( 3502035 = -53 = 0.00 ),( 3502035 = -53 = 0.00 )
1522108800,( 1419087 = -59 = 0.00 ),( 1419087 = -59 = 0.00 ),( 1419087 = -59 = 0.00 ),( 1419087 = -59 = 0.00 )
# 12) SHOUTCAST [_m_ddc_bytes] ma.27786.135 sum(_m_ddc_bytes)
adb416.central.dna.akamai.com,adb466.central.dna.akamai.com,adb416.east.dna.akamai.com,adb466.east.dna.akamai.com
1521763200,( 954 = 0 = 0.00 ),( 954 = 0 = 0.00 ),( 954 = 0 = 0.00 ),( 954 = 0 = 0.00 )
1521849600,( 5512 = 477 = 0.00 ),( 5512 = 477 = 0.00 ),( 5512 = 477 = 0.00 ),( 5512 = 477 = 0.00 )
1521936000,( 1696 = -69 = 0.00 ),( 1696 = -69 = 0.00 ),( 1696 = -69 = 0.00 ),( 1696 = -69 = 0.00 )
1522022400,( 530 = -68 = 0.00 ),( 530 = -68 = 0.00 ),( 530 = -68 = 0.00 ),( 530 = -68 = 0.00 )
1522108800,( 742 = 40 = 0.00 ),( 742 = 40 = 0.00 ),( 742 = 40 = 0.00 ),( 742 = 40 = 0.00 )
# 13) SHOUTCAST [_m_ddc_bytes] ma.27785.135 sum(_m_ddc_bytes)
adb416.central.dna.akamai.com,adb466.central.dna.akamai.com,adb416.east.dna.akamai.com,adb466.east.dna.akamai.com
1521763200,( 9367922 = 0 = 0.00 ),( 9367922 = 0 = 0.00 ),( 9367922 = 0 = 0.00 ),( 9367922 = 0 = 0.00 )
1521849600,( 12540763 = 33 = 0.00 ),( 12540763 = 33 = 0.00 ),( 12540763 = 33 = 0.00 ),( 12540763 = 33 = 0.00 )
1521936000,( 13145194 = 4 = 0.00 ),( 13145194 = 4 = 0.00 ),( 13145194 = 4 = 0.00 ),( 13145194 = 4 = 0.00 )
1522022400,( 8466596 = -35 = 0.00 ),( 8466596 = -35 = 0.00 ),( 8466596 = -35 = 0.00 ),( 8466596 = -35 = 0.00 )
1522108800,( 7858519 = -7 = 0.00 ),( 7858519 = -7 = 0.00 ),( 7858519 = -7 = 0.00 ),( 7858519 = -7 = 0.00 )
# 14) SHOUTCAST [_m_ddc_bytes] ma.27784.135 sum(_m_ddc_bytes)
adb416.central.dna.akamai.com,adb466.central.dna.akamai.com,adb416.east.dna.akamai.com,adb466.east.dna.akamai.com
1521763200,( 908878 = 0 = 0.00 ),( 908878 = 0 = 0.00 ),( 908878 = 0 = 0.00 ),( 908878 = 0 = 0.00 )
1521849600,( 832832 = -8 = 0.00 ),( 832832 = -8 = 0.00 ),( 832832 = -8 = 0.00 ),( 832832 = -8 = 0.00 )
1521936000,( 1091538 = 31 = 0.00 ),( 1091538 = 31 = 0.00 ),( 1091538 = 31 = 0.00 ),( 1091538 = 31 = 0.00 )
1522022400,( 980906 = -10 = 0.00 ),( 980906 = -10 = 0.00 ),( 980906 = -10 = 0.00 ),( 980906 = -10 = 0.00 )
1522108800,( 848350 = -13 = 0.00 ),( 848350 = -13 = 0.00 ),( 848350 = -13 = 0.00 ),( 848350 = -13 = 0.00 )
